16|MHLIUG|2025-12-15|2026-01-01 07:40:08.695000|1|AUH|KTI|AUH|SAI|AE |KH |AE |KH 
16|HJMLHO|2025-12-01|2026-01-01 07:40:08.698000|1|AUH|KTI|AUH|SAI|AE |KH |AE |KH 
16|FDCGYI|2026-01-01|2026-01-01 08:06:41.059000|2|BKK|CMB|KTI|CMB|TH |LK |KH |LK 
16|FIACUQ|2025-09-09|2025-12-31 20:15:45.782000|4|BKK|DEN|BKK|DEN|TH |US |TH |US 
16|FIACUQ|2025-09-09|2025-12-31 20:15:45.782000|5|BKK|DEN|BKK|DEN|TH |US |TH |US 
16|KJBMIM|2026-01-01|2026-01-01 04:44:13.500000|1|BKK|KTI|BKK|HAN|TH |KH |TH |VN 
16|WLWWWV|2025-12-31|2025-12-31 23:30:28.714000|2|BKK|HKG|KTI|HKG|TH |HK |KH |HK 
16|ASLJBN|2025-12-31|2025-12-31 23:18:27.250000|2|BKK|HKG|BKK|HKG|TH |HK |TH |HK 
16|KJTKOQ|2026-01-01|2026-01-01 10:29:01.707000|2|BKK|HKG|KTI|HKG|TH |HK |KH |HK 
16|ATRTKE|2026-01-01|2026-01-01 00:25:54.998000|2|BKK|HKG|KTI|HKG|TH |HK |KH |HK 
16|HWRUWX|2026-01-01|2026-01-01 09:48:11.525000|2|BKK|HKG|BKK|HKG|TH |HK |TH |HK 
16|EPJEJY|2025-12-31|2025-12-31 23:07:58.035000|2|BKK|HKG|KTI|HKG|TH |HK |KH |HK 
16|GEOHTJ|2026-01-01|2026-01-01 02:26:43.347000|2|BKK|HKG|BKK|HKG|TH |HK |TH |HK 
16|EDXESN|2025-12-31|2025-12-31 19:02:24.242000|2|BKK|HKG|KTI|HKG|TH |HK |KH |HK 
16|SZQUTM|2025-12-31|2025-12-31 19:36:46.359000|2|BKK|HKG|KTI|HKG|TH |HK |KH |HK 
16|ENCLTD|2025-12-31|2025-12-31 23:20:24.730000|2|BKK|HKG|BKK|HKG|TH |HK |TH |HK 
16|WCADUV|2026-01-01|2026-01-01 00:41:08.910000|2|BKK|HKG|KTI|HKG|TH |HK |KH |HK 
16|FDUZOA|2026-01-01|2026-01-01 03:13:17.036000|2|BKK|HKG|KTI|HKG|TH |HK |KH |HK 
16|SGUXEK|2025-12-31|2025-12-31 18:20:12.757000|2|BKK|HKG|BKK|HKG|TH |HK |TH |HK 
16|WIZUDF|2026-01-01|2026-01-01 01:02:44.018000|2|BKK|HKG|KTI|HKG|TH |HK |KH |HK 
16|GGNRJE|2025-12-31|2025-12-31 23:16:26.579000|2|BKK|HKG|BKK|HKG|TH |HK |TH |HK 
16|SIGOMY|2025-12-31|2025-12-31 18:04:41.275000|2|BKK|HKG|BKK|HKG|TH |HK |TH |HK 
16|FAAMUX|2026-01-01|2026-01-01 07:16:53.445000|2|BKK|HKG|BKK|HKG|TH |HK |TH |HK 
16|FOXVZR|2025-12-31|2025-12-31 16:44:12.478000|2|BKK|HKG|KTI|HKG|TH |HK |KH |HK 
16|GFLXRD|2026-01-01|2026-01-01 01:37:21.743000|2|BKK|HKG|KTI|HKG|TH |HK |KH |HK 
