16|JRGDSS|2025-10-08|2026-01-01 23:02:48.955000|1|BKK|KTI|BKK|KTI|TH |KH |TH |KH 
16|ERDQRM|2025-11-29|2026-01-01 23:26:45.124000|1|BKK|KTI|BKK|KTI|TH |KH |TH |KH 
16|NWNSOK|2026-01-02|2026-01-02 00:47:04.682000|1|BKK|KTI|BKK|KTI|TH |KH |TH |KH 
16|WMZXQI|2026-01-01|2026-01-02 00:20:11.850000|1|BKK|KTI|BKK|KTI|TH |KH |TH |KH 
16|KCJLTF|2026-01-02|2026-01-02 08:23:50.069000|1|BKK|KTI|BKK|KTI|TH |KH |TH |KH 
16|OYGFRG|2026-01-01|2026-01-01 18:45:57.169000|1|BKK|KTI|BKK|KTI|TH |KH |TH |KH 
16|IUVBHX|2026-01-01|2026-01-01 20:38:25.841000|1|BKK|KTI|BKK|KTI|TH |KH |TH |KH 
16|IHGPPR|2025-10-22|2026-01-01 23:29:38.317000|1|BKK|KTI|BKK|KTI|TH |KH |TH |KH 
16|YSCKID|2025-12-27|2026-01-01 23:15:20.715000|1|BKK|KTI|BKK|KTI|TH |KH |TH |KH 
16|NMIUPS|2026-01-02|2026-01-02 05:16:44.084000|1|BKK|KTI|BKK|KTI|TH |KH |TH |KH 
16|MJCGYJ|2026-01-02|2026-01-02 02:29:19.037000|1|BKK|KTI|BKK|KTI|TH |KH |TH |KH 
16|WYGMZW|2025-11-21|2026-01-02 08:36:56.748000|1|BKK|SAI|BKK|SAI|TH |KH |TH |KH 
16|IYDDOM|2025-12-31|2026-01-01 23:24:51.700000|1|CAN|KTI|CAN|KTI|CN |KH |CN |KH 
16|LOMMPK|2026-01-02|2026-01-02 09:24:15.382000|1|CAN|KTI|CAN|KTI|CN |KH |CN |KH 
16|QUDBGR|2026-01-02|2026-01-02 10:23:51.375000|1|CAN|KTI|CAN|KTI|CN |KH |CN |KH 
16|LRGYNH|2026-01-02|2026-01-02 07:45:23.839000|2|CAN|KTI|CAN|KTI|CN |KH |CN |KH 
16|NEXFJE|2026-01-02|2026-01-02 10:25:23.836000|1|CAN|KTI|CAN|KTI|CN |KH |CN |KH 
16|MDLJOG|2026-01-01|2026-01-01 15:46:05.129000|2|CDG|KTI|CDG|KTI|FR |KH |FR |KH 
