27|FTBWND|2025-01-15|1882404815507|2025-01-15|2025-12-31 19:01:00.000000|1|PR5.UPGRD TO Z CLS IF SEAT AVAIL.NON-EXT/END.
27|KKISRG|2025-02-24|1882827324902|2025-02-24|2025-08-29 07:23:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|KKISRG|2025-02-24|1882827324901|2025-02-24|2025-08-29 07:23:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|NRPYKZ|2025-02-24|1881409882815|2025-02-24|2026-01-01 01:40:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|NRPYKZ|2025-02-24|1881409882814|2025-02-24|2026-01-01 01:40:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|NWSZHX|2025-02-28|1885607054042|2025-02-28|2026-01-01 05:39:00.000000|1|NON-END/REROUTERESTRICTION APPLY
27|NWSZHX|2025-02-28|1885607054043|2025-02-28|2026-01-01 05:39:00.000000|1|NON-END/REROUTERESTRICTION APPLY
27|NWSZHX|2025-02-28|1885607054041|2025-02-28|2026-01-01 05:39:00.000000|1|NON-END/REROUTERESTRICTION APPLY
27|NWSZHX|2025-02-28|1885607054039|2025-02-28|2026-01-01 05:39:00.000000|1|NON-END/REROUTERESTRICTION APPLY
27|NWSZHX|2025-02-28|1885607054040|2025-02-28|2026-01-01 05:39:00.000000|1|NON-END/REROUTERESTRICTION APPLY
27|NWSZHX|2025-02-28|1885607054038|2025-02-28|2026-01-01 05:39:00.000000|1|NON-END/REROUTERESTRICTION APPLY
27|SLXOFF|2025-03-11|1882404886112|2025-03-11|2025-03-11 22:14:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY/ TICKET CMA
27|DONWUW|2025-03-12|1882104886644|2025-03-12|2026-01-01 00:53:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|DONWUW|2025-03-12|1882104886643|2025-03-12|2026-01-01 00:53:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|GNQFDT|2025-03-16|1882104891518|2025-03-16|2025-12-31 23:21:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|GNQFDT|2025-03-16|1882104891519|2025-03-16|2025-12-31 23:21:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|GNQFDT|2025-03-16|1882104891520|2025-03-16|2025-12-31 23:21:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|OGNHJJ|2025-03-16|1889590569273|2025-03-16|2025-07-31 23:47:00.000000|1|NON-END/REROUTE RESTRICTION APPLY
