23|WYJPWQ|2025-03-11|1882404886113|2025-03-11|2025-03-11 22:15:00.000000|1|TKTCMA/CMA
23|WNDBPP|2025-03-28|1882404905949|2025-03-28|2026-01-02 04:26:00.000000|1|TKTKWEADMIN/KWE
23|WNDBPP|2025-03-28|1882404905948|2025-03-28|2026-01-02 04:26:00.000000|1|TKTKWEADMIN/KWE
23|UTZLWW|2025-04-21|1885604700920|2025-04-21|2025-11-17 03:25:00.000000|1|CHANGE FLIGHTS W/O DEE DUE TO 824/03JAN SC
23|UTZLWW|2025-04-21|1885604700921|2025-04-21|2025-11-17 03:26:00.000000|1|CHANGE FLIGHTS W/O DEE DUE TO 824/03JAN SC
23|YBRQBP|2025-04-27|1882404935719|2025-04-27|2026-01-01 20:37:00.000000|1|TKTKSMADMIN/KSM
23|YBRQBP|2025-04-27|1882404935721|2025-04-27|2026-01-01 20:38:00.000000|1|TKTKSMADMIN/KSM
23|YBRQBP|2025-04-27|1882404935720|2025-04-27|2026-01-01 20:38:00.000000|1|TKTKSMADMIN/KSM
23|LVHVJD|2025-05-21|1882404960626|2025-05-23|2026-01-01 23:11:00.000000|1|TKTKDEADMIN/KDE
23|LVHVJD|2025-05-21|1882404960625|2025-05-23|2026-01-01 23:11:00.000000|1|TKTKDEADMIN/KDE
23|HJQOYA|2025-06-09|1883087180443|2025-06-09|2026-01-01 22:57:00.000000|1|CHANGE FLIGHTS W/O DEE DUE TO 824/05JAN SC
23|HJQOYA|2025-06-09|1883087180442|2025-06-09|2026-01-01 22:57:00.000000|1|CHANGE FLIGHTS W/O DEE DUE TO 824/05JAN SC
23|AMGCVM|2025-06-16|1887267764261|2025-06-16|2026-01-01 23:34:00.000000|1|APPROVE RFND NO ADC WZ INVOL RFD CX251013/K6-COM
23|AMGCVM|2025-06-16|1887267764264|2025-06-16|2026-01-01 23:34:00.000000|1|APPROVE RFND NO ADC WZ INVOL RFD CX251013/K6-COM
23|AMGCVM|2025-06-16|1887267764263|2025-06-16|2026-01-01 23:34:00.000000|1|APPROVE RFND NO ADC WZ INVOL RFD CX251013/K6-COM
23|AMGCVM|2025-06-16|1887267764262|2025-06-16|2026-01-01 23:34:00.000000|1|APPROVE RFND NO ADC WZ INVOL RFD CX251013/K6-COM
23|AMGCVM|2025-06-16|1887267764260|2025-06-16|2026-01-01 23:34:00.000000|1|APPROVE RFND NO ADC WZ INVOL RFD CX251013/K6-COM
23|YJOZRG|2025-08-17|1882405043571|2025-08-17|2026-01-01 21:16:00.000000|1|IT-TEAM/CNT
23|UMFBSC|2025-07-28|1883086439838|2025-08-20|2026-01-02 04:58:00.000000|1|APPROVED FULLY REFUND FRM MR NAM K6850 RETM 1735-1925PM ADC 001/K6BOC-ADHOC
23|OIKDSA|2025-08-20|1883086439837|2025-08-20|2026-01-02 04:59:00.000000|1|APPROVED FULLY REFUND FRM MR NAM K6850 RETM 1735-1925PM ADC 001/K6BOC-ADHOC
